id,bssid,ap_name,ap_id,ssid,latitude,longitude,zone,location_name,floor,is_active,updated_at
395,94:00:B0:77:E2:60,AP-17,16,CMI-PDA,18.56602,99.042385,AP-17-DP2,,1,true,2026-03-13 15:58:40.867912+07
396,94:00:B0:77:E2:70,AP-17,16,CMI-PDA,18.56602,99.042385,AP-17-DP2,,1,true,2026-03-13 15:58:40.867912+07
397,94:00:B0:77:E2:71,AP-17,16,JT Express Office,18.56602,99.042385,AP-17-DP2,,1,true,2026-03-13 15:58:40.867912+07
398,94:00:B0:77:E2:40,AP-18,17,CMI-PDA,18.56602,99.042385,AP-18-DP2,,1,true,2026-03-13 15:58:40.867912+07
399,94:00:B0:77:E2:50,AP-18,17,CMI-PDA,18.56602,99.042385,AP-18-DP2,,1,true,2026-03-13 15:58:40.867912+07
400,94:00:B0:77:E2:51,AP-18,17,JT Express Office,18.56602,99.042385,AP-18-DP2,,1,true,2026-03-13 15:58:40.867912+07
401,94:00:B0:77:E0:80,AP-19,18,CMI-PDA,18.56602,99.042385,AP-19-APT,,2,true,2026-03-13 15:58:40.867912+07
402,94:00:B0:77:E0:90,AP-19,18,CMI-PDA,18.56602,99.042385,AP-19-APT,,2,true,2026-03-13 15:58:40.867912+07
403,94:00:B0:77:E0:91,AP-19,18,JT Express Office,18.56602,99.042385,AP-19-APT,,2,true,2026-03-13 15:58:40.867912+07
404,94:00:B0:77:D5:40,AP-20,19,CMI-PDA,18.56602,99.042385,AP-20-APT,,2,true,2026-03-13 15:58:40.867912+07
405,94:00:B0:77:D5:50,AP-20,19,CMI-PDA,18.56602,99.042385,AP-20-APT,,2,true,2026-03-13 15:58:40.867912+07
406,94:00:B0:77:D5:51,AP-20,19,JT Express Office,18.56602,99.042385,AP-20-APT,,2,true,2026-03-13 15:58:40.867912+07
407,94:00:B0:77:E2:20,AP-21,20,CMI-PDA,18.56602,99.042385,AP-21-APT,,2,true,2026-03-13 15:58:40.867912+07
408,94:00:B0:77:E2:30,AP-21,20,CMI-PDA,18.56602,99.042385,AP-21-APT,,2,true,2026-03-13 15:58:40.867912+07
409,94:00:B0:77:E2:31,AP-21,20,JT Express Office,18.56602,99.042385,AP-21-APT,,2,true,2026-03-13 15:58:40.867912+07
410,94:00:B0:77:E2:80,AP-22,21,CMI-PDA,18.56602,99.042385,AP-22-APT,,2,true,2026-03-13 15:58:40.867912+07
411,94:00:B0:77:E2:90,AP-22,21,CMI-PDA,18.56602,99.042385,AP-22-APT,,2,true,2026-03-13 15:58:40.867912+07
412,94:00:B0:77:E2:91,AP-22,21,JT Express Office,18.56602,99.042385,AP-22-APT,,2,true,2026-03-13 15:58:40.867912+07
413,94:00:B0:77:E1:20,AP-23,22,CMI-PDA,18.56602,99.042385,AP-23-APT,,2,true,2026-03-13 15:58:40.867912+07
414,94:00:B0:77:E1:30,AP-23,22,CMI-PDA,18.56602,99.042385,AP-23-APT,,2,true,2026-03-13 15:58:40.867912+07
415,94:00:B0:77:E1:31,AP-23,22,JT Express Office,18.56602,99.042385,AP-23-APT,,2,true,2026-03-13 15:58:40.867912+07
416,94:00:B0:77:E0:E0,AP-24,23,CMI-PDA,18.56602,99.042385,AP-24-APT,,2,true,2026-03-13 15:58:40.867912+07
417,94:00:B0:77:E0:F0,AP-24,23,CMI-PDA,18.56602,99.042385,AP-24-APT,,2,true,2026-03-13 15:58:40.867912+07
418,94:00:B0:77:E0:F1,AP-24,23,JT Express Office,18.56602,99.042385,AP-24-APT,,2,true,2026-03-13 15:58:40.867912+07
419,94:00:B0:77:E1:00,AP-25,24,CMI-PDA,18.56602,99.042385,AP-25-APT,,3,true,2026-03-13 15:58:40.867912+07
420,94:00:B0:77:E1:10,AP-25,24,CMI-PDA,18.56602,99.042385,AP-25-APT,,3,true,2026-03-13 15:58:40.867912+07
421,94:00:B0:77:E1:11,AP-25,24,JT Express Office,18.56602,99.042385,AP-25-APT,,3,true,2026-03-13 15:58:40.867912+07
422,94:00:B0:77:E0:A0,AP-26,25,CMI-PDA,18.56602,99.042385,AP-26-APT,,3,true,2026-03-13 15:58:40.867912+07
423,94:00:B0:77:E0:B0,AP-26,25,CMI-PDA,18.56602,99.042385,AP-26-APT,,3,true,2026-03-13 15:58:40.867912+07
424,94:00:B0:77:E0:B1,AP-26,25,JT Express Office,18.56602,99.042385,AP-26-APT,,3,true,2026-03-13 15:58:40.867912+07
425,58:AE:A8:9B:3B:10,AP-27,26,CMI-PDA,18.56602,99.042385,AP-27-APT,,3,true,2026-03-13 15:58:40.867912+07
426,58:AE:A8:9B:3B:20,AP-27,26,CMI-PDA,18.56602,99.042385,AP-27-APT,,3,true,2026-03-13 15:58:40.867912+07
427,58:AE:A8:9B:3B:21,AP-27,26,JT Express Office,18.56602,99.042385,AP-27-APT,,3,true,2026-03-13 15:58:40.867912+07
428,58:AE:A8:9B:41:70,AP-28,27,CMI-PDA,18.56602,99.042385,AP-28-APT,,3,true,2026-03-13 15:58:40.867912+07
429,58:AE:A8:9B:41:80,AP-28,27,CMI-PDA,18.56602,99.042385,AP-28-APT,,3,true,2026-03-13 15:58:40.867912+07
430,58:AE:A8:9B:41:81,AP-28,27,JT Express Office,18.56602,99.042385,AP-28-APT,,3,true,2026-03-13 15:58:40.867912+07
431,48:12:8F:A9:DD:20,AP-29,28,CMI-PDA,18.56602,99.042385,AP-29-APT,,3,true,2026-03-13 15:58:40.867912+07
432,48:12:8F:A9:DD:30,AP-29,28,CMI-PDA,18.56602,99.042385,AP-29-APT,,3,true,2026-03-13 15:58:40.867912+07
433,48:12:8F:A9:DD:31,AP-29,28,JT Express Office,18.56602,99.042385,AP-29-APT,,3,true,2026-03-13 15:58:40.867912+07
434,48:12:8F:A9:DC:80,AP-30,29,CMI-PDA,18.56602,99.042385,AP-30-APT,,3,true,2026-03-13 15:58:40.867912+07
435,48:12:8F:A9:DC:90,AP-30,29,CMI-PDA,18.56602,99.042385,AP-30-APT,,3,true,2026-03-13 15:58:40.867912+07
436,48:12:8F:A9:DC:91,AP-30,29,JT Express Office,18.56602,99.042385,AP-30-APT,,3,true,2026-03-13 15:58:40.867912+07
437,48:12:8F:A9:DB:80,OF-AP-01,30,CMI-PDA,18.56602,99.042385,OFFICE-AP-01,,2,true,2026-03-13 15:58:40.867912+07
438,48:12:8F:A9:DB:90,OF-AP-01,30,CMI-PDA,18.56602,99.042385,OFFICE-AP-01,,2,true,2026-03-13 15:58:40.867912+07
439,E4:82:10:94:2B:D0,OF-AP-02,31,CMI-PDA,18.56602,99.042385,OFFICE-AP-02,,2,true,2026-03-13 15:58:40.867912+07
440,E4:82:10:94:2B:E0,OF-AP-02,31,CMI-PDA,18.56602,99.042385,OFFICE-AP-02,,2,true,2026-03-13 15:58:40.867912+07
441,E4:82:10:94:28:70,OF-AP-03,32,CMI-PDA,18.56602,99.042385,OFFICE-AP-03,,2,true,2026-03-13 15:58:40.867912+07
442,E4:82:10:94:28:80,OF-AP-03,32,CMI-PDA,18.56602,99.042385,OFFICE-AP-03,,2,true,2026-03-13 15:58:40.867912+07
443,E4:82:10:94:2D:90,OF-AP-04,33,CMI-CCTV,18.56602,99.042385,OFFICE-AP-04,,3,true,2026-03-13 15:58:40.867912+07
444,E4:82:10:94:2D:A0,OF-AP-04,33,CMI-CCTV,18.56602,99.042385,OFFICE-AP-04,,3,true,2026-03-13 15:58:40.867912+07
445,E4:82:10:93:EF:30,OF-AP-05,34,CMI-PDA,18.56602,99.042385,OFFICE-AP-05,,3,true,2026-03-13 15:58:40.867912+07
446,E4:82:10:93:EF:40,OF-AP-05,34,CMI-PDA,18.56602,99.042385,OFFICE-AP-05,,3,true,2026-03-13 15:58:40.867912+07
447,7C:D9:A0:0D:C3:A0,AP35 GW-1,35,CMI-PDA,18.56602,99.042385,AP-01-GW1,,1,true,2026-03-13 15:58:40.867912+07
448,7C:D9:A0:0D:C3:B0,AP35 GW-1,35,CMI-PDA,18.56602,99.042385,AP-01-GW1,,1,true,2026-03-13 15:58:40.867912+07
449,7C:D9:A0:0D:C3:B1,AP35 GW-1,35,JT Express Office,18.56602,99.042385,AP-01-GW1,,1,true,2026-03-13 15:58:40.867912+07
450,94:A4:F9:93:CB:D0,AP36 DP-4,36,CMI-PDA,18.56602,99.042385,AP-05-DP4,,1,true,2026-03-13 15:58:40.867912+07
451,94:A4:F9:93:CB:E0,AP36 DP-4,36,CMI-PDA,18.56602,99.042385,AP-05-DP4,,1,true,2026-03-13 15:58:40.867912+07
452,94:A4:F9:93:CB:E1,AP36 DP-4,36,JT Express Office,18.56602,99.042385,AP-05-DP4,,1,true,2026-03-13 15:58:40.867912+07
